Computer_Time, BaseRightFront,BaseRightBack, BackRightL1,BackRightL2,Top,BackRightL3,BackRightL4,BackLeftL4,BackLeftL3,BackLeftL2, Middle, BackLeftL1, BaseLeftBack, BaseLeftRight,Posture
16:43:20,404.00,300,16,15,70,104,157,147,56,17,16,16,34,528,1111
16:43:22,403.00,243,16,16,71,94,153,147,57,16,16,16,16,530,1111
16:43:25,403.00,280,16,17,71,118,165,146,65,16,16,16,16,531,1111
16:43:27,403.00,278,17,17,73,108,171,161,70,17,13,16,16,533,1111
16:43:44,416.00,448,15,16,93,180,40,16,15,16,15,16,382,324,1
16:43:46,397.00,411,15,15,109,133,37,49,16,15,16,16,344,322,1
16:43:48,379.00,418,16,16,47,151,20,35,16,16,16,16,362,317,1
16:43:50,394.00,470,15,16,49,203,46,15,16,16,16,15,406,329,1
16:43:52,405.00,410,15,15,48,131,69,49,15,16,17,15,356,340,1
16:43:54,392.00,402,16,15,54,136,43,33,16,15,16,16,358,326,1
16:43:57,385.00,352,15,15,58,141,45,32,16,16,16,16,365,320,1
16:43:59,386.00,415,16,17,64,144,44,36,15,15,14,15,366,323,1
16:44:01,384.00,419,16,15,64,146,44,46,14,15,15,16,372,320,1
16:44:03,382.00,418,16,16,64,146,43,45,16,16,15,16,375,322,1
16:44:05,381.00,392,16,15,66,135,48,50,16,16,15,16,379,324,1
16:44:07,380.00,422,16,15,65,134,45,59,15,16,16,16,379,318,1
16:44:09,374.00,431,16,15,67,122,32,62,16,17,15,16,389,324,1
16:44:12,374.00,427,16,15,63,143,39,57,15,14,16,16,381,321,1
16:44:14,375.00,436,15,15,53,221,60,15,15,16,16,15,369,314,1
16:44:16,373.00,438,16,16,44,185,62,16,16,16,15,15,379,320,1
16:44:18,373.00,443,15,15,58,135,61,16,16,15,16,15,385,312,1
16:44:33,451.00,245,16,16,219,16,16,93,15,15,15,16,436,15,11
16:44:35,447.00,274,15,15,167,15,15,84,15,15,16,16,441,15,11
16:44:37,445.00,292,15,16,234,16,16,97,16,15,16,15,439,16,11
16:44:39,442.00,305,16,15,209,16,16,92,16,15,16,16,447,15,11
16:44:42,443.00,304,15,15,203,16,15,89,16,16,15,15,450,16,11
16:44:44,441.00,300,15,16,204,15,16,95,15,14,16,16,462,18,11
16:44:46,440.00,306,17,16,183,15,16,99,16,15,15,16,464,16,11
16:44:48,438.00,306,15,15,171,16,16,77,15,16,15,15,460,15,11
16:44:50,437.00,303,16,16,212,16,15,82,15,16,16,15,481,16,11
16:44:52,436.00,304,15,15,171,15,14,76,16,16,15,16,464,16,11
16:44:54,436.00,305,16,16,151,16,15,72,15,15,16,16,464,15,11
16:44:57,436.00,298,16,15,121,16,16,68,16,15,15,16,467,15,11
16:44:59,445.00,282,16,16,79,15,16,59,16,15,15,16,467,16,11
16:45:01,445.00,301,15,15,97,16,15,63,15,16,16,15,464,15,11
16:45:03,444.00,301,16,16,110,15,16,69,16,16,16,17,465,16,11
16:45:05,444.00,306,16,17,103,16,16,61,16,16,16,16,466,15,11
16:45:14,144.00,273,16,16,84,236,16,15,16,16,16,15,563,15,1
16:45:16,184.00,292,15,15,83,275,16,15,15,16,15,16,574,16,11
16:45:18,174.00,296,16,15,85,278,15,15,16,15,15,15,580,16,11
16:45:20,187.00,303,15,16,92,279,16,15,15,16,16,16,584,15,11
16:45:22,194.00,303,16,17,77,263,16,17,16,16,16,16,586,16,11
16:45:24,203.00,307,17,15,72,273,16,16,15,16,16,16,587,15,11
